Ngram,Frequency
"('funding', 'to')",1
"('to', 'select')",1
"('select', 'state')",1
"('agencies', 'for')",1
"('the', 'acquisition')",1
"('acquisition', 'and')",1
"('and', 'protection')",1
"('protection', 'of')",1
"('of', 'important')",1
"('important', 'natural')",1
"('natural', 'areas')",1
"('areas', 'to')",1
"('to', 'preserve')",1
"('preserve', 'the')",1
"('states', 'ecological')",1
"('ecological', 'diversity')",1
"('diversity', 'and')",1
"('cultural', 'heritage')",1
"('heritage', 'and')",1
"('to', 'inventory')",1
"('inventory', 'the')",1
"('the', 'natural')",1
"('heritage', 'resources')",1
"('state', 'in')",1
"('in', 'july')",1
"('july', 'these')",1
"('these', 'key')",1
"('key', 'purposes')",1
"('purposes', 'were')",1
"('were', 'incorporated')",1
"('incorporated', 'in')",1
"('the', 'clean')",1
"('fund', 'enabling')",1
"('enabling', 'legislation')",1
"('legislation', 'and')",1
"('the', 'nhtf')",1
"('nhtf', 'statute')",1
"('statute', 'was')",1
"('was', 'repealed')",1
"('repealed', 'see')",1
"('at', 'httpwebarchiveorgwebhttpwwwncnhtforgpagesaboutnhtfhtm')",1
"('httpwebarchiveorgwebhttpwwwncnhtforgpagesaboutnhtfhtm', 'note')",1
"('of', 'administrative')",1
"('administrative', 'hearings')",1
"('hearings', 'note')",1
"('the', 'grand')",1
"('grand', 'chapter')",1
"('chapter', 'of')",1
"('nc', 'order')",1
"('order', 'of')",1
"('the', 'eastern')",1
"('eastern', 'star')",1
"('star', 'note')",1
"('onemap', 'is')",1
"('onemap', 'a')",1
"('he', 'north')",1
"('in', 'optometry')",1
"('nc', 'physical')",1
"('physical', 'activity')",1
"('activity', 'and')",1
"('nutrition', 'branch')",1
"('nc', 'pan')",1
"('pan', 'nc')",1
"('health', 'see')",1
"('at', 'httpwebarchiveorgwebhttpwwwncpanbranchcom')",1
"('httpwebarchiveorgwebhttpwwwncpanbranchcom', 'note')",1
"('nc', 'ports')",1
"('ports', 'note')",1
"('nc', 'progress')",1
"('progress', 'portal')",1
"('portal', 'note')",1
"('nc', 'psychology')",1
"('psychology', 'board')",1
"('therapy', 'examiners')",1
"('historical', 'publications')",1
"('publications', 'north')",1
"('history', 'department')",1
"('resources', 'wwwncpublicationscom')",1
"('wwwncpublicationscom', 'note')",1
"('radiation', 'protection')",1
"('protection', 'section')",1
"('section', 'nc')",1
"('nc', 'radon')",1
"('radon', 'awarenes')",1
"('awarenes', 'site')",1
"('we', 'serve')",1
"('serve', 'the')",1
"('nc', 'insurance')",1
"('insurance', 'industry')",1
"('industry', 'by')",1
"('by', 'providing')",1
"('providing', 'services')",1
"('and', 'programs')",1
"('programs', 'for')",1
"('for', 'automobile')",1
"('automobile', 'property')",1
"('property', 'and')",1
"('and', 'workers')",1
"('insurance', 'this')",1
"('site', 'contains')",1
"('contains', 'information')",1
"('information', 'for')",1
"('for', 'these')",1
"('these', 'types')",1
"('types', 'of')",1
"('carolina', 'respiratory')",1
"('respiratory', 'care')",1
"('care', 'note')",1
"('carolina', 'rural')",1
"('rural', 'electrification')",1
"('electrification', 'authority')",1
"('health', 'specialist')",1
"('specialist', 'examiners')",1
"('nc', 'report')",1
"('report', 'cards')",1
"('cards', 'for')",1
"('for', 'schools')",1
"('nc', 'science')",1
"('technology', 'note')",1
"('deaf', 'note')",1
"('employees', 'combined')",1
"('combined', 'campaign')",1
"('carolina', 'seniors')",1
"('seniors', 'health')",1
"('insurance', 'information')",1
"('information', 'program')",1
"('program', 'shiip')",1
"('shiip', 'note')",1
"('carolina', 'sickle')",1
"('sickle', 'cell')",1
"('cell', 'syndrome')",1
"('syndrome', 'program')",1
"('state', 'improvement')",1
"('improvement', 'project')",1
"('project', 'nc')",1
"('sip', 'nc')",1
"('sip', 'is')",1
"('program', 'in')",1
"('the', 'exceptional')",1
"('exceptional', 'children')",1
"('children', 'division')",1
"('instruction', 'nc')",1
"('nc', 'dpi')",1
"('dpi', 'note')",1
"('thank', 'you')",1
"('you', 'for')",1
"('for', 'visiting')",1
"('visiting', 'accessnc')",1
"('accessnc', 'your')",1
"('your', 'onestop')",1
"('onestop', 'source')",1
"('source', 'for')",1
"('carolina', 'economic')",1
"('economic', 'data')",1
"('data', 'and')",1
"('and', 'site')",1
"('site', 'information')",1
"('information', 'note')",1
"('the', 'carolina')",1
"('carolina', 'star')",1
"('star', 'program')",1
"('program', 'is')",1
"('to', 'recognize')",1
"('recognize', 'and')",1
"('and', 'promote')",1
"('promote', 'effective')",1
"('effective', 'safety')",1
"('safety', 'and')",1
"('health', 'management')",1
"('management', 'systems')",1
"('systems', 'in')",1
"('in', 'star')",1
"('star', 'management')",1
"('management', 'labor')",1
"('and', 'osh')",1
"('osh', 'establish')",1
"('establish', 'a')",1
"('a', 'cooperative')",1
"('cooperative', 'relationship')",1
"('relationship', 'at')",1
"('at', 'a')",1
"('a', 'workplace')",1
"('workplace', 'that')",1
"('that', 'has')",1
"('has', 'implemented')",1
"('implemented', 'a')",1
"('strong', 'program')",1
"('nc', 'stormwater')",1
"('stormwater', 'and')",1
"('and', 'runoff')",1
"('runoff', 'pollution')",1
"('pollution', 'site')",1
"('state', 'univ')",1
"('univ', 'extension')",1
"('nc', 'symphony')",1
"('symphony', 'note')",1
"('tobacco', 'free')",1
"('free', 'schools')",1
"('schools', 'nc')",1
"('carolina', 'japan')",1
"('japan', 'office')",1
"('nctopps', 'homepage')",1
"('homepage', 'is')",1
"('now', 'httpwwwncdhhsgovmhddsasprovidersnctoppsindexhtm')",1
"('httpwwwncdhhsgovmhddsasprovidersnctoppsindexhtm', 'entry')",1
"('entry', 'still')",1
"('still', 'included')",1
"('for', 'nctoppsncdmhnet')",1
"('nctoppsncdmhnet', 'pattern')",1
"('for', 'pages')",1
"('pages', 'such')",1
"('as', 'httpswwwgooglecomsearchqsiteanctoppsncdmhnet')",1
"('httpswwwgooglecomsearchqsiteanctoppsncdmhnet', 'note')",1
"('state', 'personnel')",1
"('personnel', 'note')",1
"('nc', 'transportation')",1
"('transportation', 'museum')",1
"('museum', 'note')",1
"('carolina', 'veterinary')",1
"('veterinary', 'medical')",1
"('carolinas', 'marketplace')",1
"('marketplace', 'for')",1
"('for', 'discarded')",1
"('discarded', 'or')",1
"('or', 'surplus')",1
"('surplus', 'materials')",1
"('materials', 'and')",1
"('and', 'products')",1
"('products', 'note')",1
"('carolina', 'well')",1
"('certification', 'commission')",1
"('commission', 'protects')",1
"('protects', 'the')",1
"('safety', 'by')",1
"('by', 'ensuring')",1
"('ensuring', 'the')",1
"('the', 'integrity')",1
"('integrity', 'and')",1
"('and', 'competence')",1
"('competence', 'of')",1
"('of', 'well')",1
"('contractors', 'through')",1
"('through', 'examination')",1
"('examination', 'certification')",1
"('certification', 'continuing')",1
"('and', 'enforcement')",1
"('enforcement', 'the')",1
"('the', 'well')",1
"('certification', 'unit')",1
"('unit', 'is')",1
"('now', 'part')",1
"('the', 'department')",1
"('nc', 'wildlife')",1
"('wildlife', 'resource')",1
"('resource', 'commission')",1
"('wiseowl', 'nc')",1
"('nc', 'online')",1
"('online', 'windows')",1
"('windows', 'for')",1
"('for', 'learning')",1
"('learning', 'has')",1
"('has', 'been')",1
"('been', 'providing')",1
"('providing', 'online')",1
"('online', 'subscription')",1
"('subscription', 'resources')",1
"('for', 'our')",1
"('our', 'schools')",1
"('schools', 'since')",1
"('since', 'our')",1
"('our', 'mission')",1
"('to', 'ensure')",1
"('ensure', 'that')",1
"('that', 'all')",1
"('all', 'of')",1
"('of', 'our')",1
"('our', 'public')",1
"('and', 'charter')",1
"('charter', 'school')",1
"('school', 'students')",1
"('students', 'have')",1
"('have', 'access')",1
"('a', 'collection')",1
"('collection', 'of')",1
"('of', 'online')",1
"('online', 'resources')",1
"('use', 'in')",1
"('in', 'research')",1
"('research', 'projects')",1
"('projects', 'and')",1
"('and', 'homework')",1
"('homework', 'assignments')",1
"('assignments', 'without')",1
"('without', 'regard')",1
"('regard', 'to')",1
"('the', 'economic')",1
"('economic', 'status')",1
"('their', 'local')",1
"('local', 'school')",1
"('school', 'system')",1
"('system', 'nc')",1
"('wiseowl', 'has')",1
"('has', 'three')",1
"('three', 'major')",1
"('major', 'strengths')",1
"('strengths', 'as')",1
"('as', 'an')",1
"('an', 'educational')",1
"('educational', 'resource')",1
"('resource', 'note')",1
"('nc', 'zoo')",1
"('zoo', 'is')",1
"('an', 'agency')",1
"('natural', 'and')",1
"('dakota', 'league')",1
"('of', 'cities')",1
"('cities', 'note')",1
"('wildlife', 'note')",1
"('wildlife', 'ndow')",1
"('ndow', 'licensing')",1
"('licensing', 'note')",1
"('dakota', 'recorders')",1
"('recorders', 'information')",1
"('network', 'note')",1
"('nebraska', 'ethanol')",1
"('ethanol', 'board')",1
"('nebraska', 'agrelations')",1
"('agrelations', 'council')",1
"('nebraska', 'association')",1
"('transportation', 'providers')",1
"('providers', 'note')",1
"('nebraska', 'arts')",1
"('council', 'is')",1
"('is', 'funded')",1
"('funded', 'by')",1
"('nebraska', 'the')",1
"('arts', 'and')",1
"('the', 'nebraska')",1
"('nebraska', 'cultural')",1
"('cultural', 'endowment')",1
"('endowment', 'note')",1
"('nebraska', 'corn')",1
"('corn', 'board')",1
"('nebraska', 'dry')",1
"('dry', 'bean')",1
"('bean', 'commission')",1
"('state', 'historical')",1
"('state', 'racing')",1
"('racing', 'commission')",1
"('nebraska', 'wheat')",1
"('wheat', 'board')",1
"('nebraska', 'department')",1
"('nebraska', 'lottery')",1
"('the', 'nevada')",1
"('nevada', 'judiciary')",1
"('judiciary', 'note')",1
"('pennsylvania', 'department')",1
"('community', 'economic')",1
"('nebraska', 'forest')",1
"('nh', 'historical')",1
"('nh', 'municipal')",1
"('municipal', 'association')",1
"('new', 'hampshire')",1
"('hampshire', 'lottery')",1
"('lottery', 'commission')",1
"('jersey', 'economic')",1
"('of', 'fish')",1
"('wildlife', 'nj')",1
"('environmental', 'protection')",1
"('protection', 'note')",1
"('jersey', 'surcharge')",1
"('surcharge', 'violation')",1
"('violation', 'system')",1
"('system', 'njsvs')",1
"('njsvs', 'note')",1
"('mexico', 'lottery')",1
"('mexico', 'environmental')",1
"('tracking', 'note')",1
"('special', 'supplemental')",1
"('supplemental', 'nutrition')",1
"('nutrition', 'program')",1
"('program', 'for')",1
"('mexico', 'women')",1
"('women', 'infants')",1
"('infants', 'children')",1
"('children', 'note')",1
"('nutrition', 'services')",1
"('services', 'branch')",1
"('branch', 'womens')",1
"('womens', 'and')",1
"('and', 'childrens')",1
"('health', 'ncdepartment')",1
"('ncdepartment', 'of')",1
"('and', 'disability')",1
"('division', 'department')",1
"('services', 'state')",1
"('of', 'nevada')",1
"('state', 'conference')",1
"('conference', 'of')",1
"('of', 'mayors')",1
"('mayors', 'and')",1
"('and', 'municipal')",1
"('municipal', 'officials')",1
"('officials', 'nycom')",1
"('nycom', 'note')",1
"('york', 'historical')",1
"('society', 'museum')",1
"('museum', 'and')",1
"('state', 'egovernment')",1
"('egovernment', 'listing')",1
"('listing', 'of')",1
"('state', 'homes')",1
"('homes', 'and')",1
"('community', 'renewal')",1
"('renewal', 'note')",1
"('state', 'local')",1
"('government', 'it')",1
"('it', 'directors')",1
"('directors', 'association')",1
"('association', 'nyslgitda')",1
"('nyslgitda', 'note')",1
"('police', 'recruitment')",1
"('recruitment', 'center')",1
"('ok', 'corporation')",1
"('corporation', 'commission')",1
"('of', 'hawaiian')",1
"('hawaiian', 'affairs')",1
"('affairs', 'under')",1
"('the', 'direction')",1
"('direction', 'of')",1
"('of', 'nine')",1
"('nine', 'trustees')",1
"('trustees', 'elected')",1
"('elected', 'statewide')",1
"('statewide', 'oha')",1
"('oha', 'has')",1
"('has', 'functioned')",1
"('functioned', 'operationally')",1
"('operationally', 'as')",1
"('as', 'both')",1
"('both', 'a')",1
"('a', 'government')",1
"('government', 'agency')",1
"('agency', 'with')",1
"('with', 'a')",1
"('strong', 'degree')",1
"('degree', 'of')",1
"('of', 'autonomy')",1
"('autonomy', 'and')",1
"('and', 'as')",1
"('a', 'trust')",1
"('ohio', 'bureau')",1
"('compensation', 'note')",1
"('ohio', 'humanities')",1
"('ohio', 'lottery')",1
"('ohio', 'recorders')",1
"('recorders', 'association')",1
"('oregon', 'historical')",1
"('ok', 'career')",1
"('career', 'tech')",1
"('tech', 'website')",1
"('ok', 'dept')",1
"('oklibshare', 'oklahoma')",1
"('of', 'libraries')",1
"('ok', 'lp')",1
"('lp', 'gas')",1
"('gas', 'commission')",1
"('virginia', 'olmstead')",1
"('olmstead', 'initiative')",1
"('initiative', 'note')",1
"('ohio', 'municipal')",1
"('municipal', 'league')",1
"('league', 'note')",1
"('of', 'land')",1
"('land', 'and')",1
"('water', 'stewardship')",1
"('stewardship', 'a')",1
"('nonregulatory', 'division')",1
"('division', 'within')",1
"('within', 'north')",1
"('carolinas', 'denr')",1
"('denr', 'that')",1
"('provides', 'information')",1
"('and', 'assistance')",1
"('assistance', 'to')",1
"('to', 'support')",1
"('support', 'effective')",1
"('effective', 'conservation')",1
"('conservation', 'and')",1
"('and', 'resilient')",1
"('resilient', 'communities')",1
"('communities', 'note')",1
"('oregon', 'arts')",1
"('oregon', 'governors')",1
"('of', 'film')",1
"('film', 'and')",1
"('and', 'television')",1
"('television', 'note')",1
"('oregon', 'lottery')",1
"('the', 'oklahoma')",1
"('oklahoma', 'resources')",1
"('resources', 'integration')",1
"('integration', 'general')",1
"('general', 'information')",1
"('network', 'system')",1
"('system', 'origins')",1
"('origins', 'is')",1
"('an', 'online')",1
"('online', 'database')",1
"('database', 'which')",1
"('which', 'contains')",1
"('contains', 'economic')",1
"('economic', 'social')",1
"('social', 'and')",1
"('and', 'demographic')",1
"('demographic', 'data')",1
"('data', 'intended')",1
"('intended', 'for')",1
"('use', 'by')",1
"('by', 'community')",1
"('community', 'leaders')",1
"('leaders', 'educators')",1
"('educators', 'businesses')",1
"('businesses', 'government')",1
"('agencies', 'and')",1
"('and', 'decision')",1
"('decision', 'makers')",1
"('makers', 'note')",1
"('state', 'bank')",1
"('bank', 'commissioner')",1
"('state', 'court')",1
"('the', 'maryland')",1
"('state', 'prosecutor')",1
"('prosecutor', 'note')",1
"('environmental', 'assistance')",1
"('assistance', 'and')",1
"('and', 'customer')",1
"('customer', 'service')",1
"('of', 'pennsylvanias')",1
"('pennsylvanias', 'media')",1
"('media', 'hub')",1
"('hub', 'note')",1
"('unified', 'judicial')",1
"('judicial', 'system')",1
"('pa', 'ehealth')",1
"('ehealth', 'partnership')",1
"('partnership', 'authority')",1
"('pennsylvania', 'firstnet')",1
"('firstnet', 'see')",1
"('see', 'also')",1
"('also', 'httpwwwntiadocgovsligppennsylvania')",1
"('httpwwwntiadocgovsligppennsylvania', 'note')",1
"('of', 'palau')",1
"('palau', 'national')",1
"('palau', 'judiciary')",1
"('judiciary', 'branch')",1
"('public', 'affairs')",1
"('affairs', 'office')",1
"('office', 'website')",1
"('website', 'mirrored')",1
"('mirrored', 'on')",1
"('on', 'gasdfcom')",1
"('gasdfcom', 'referenced')",1
"('on', 'httpsgangmilleadershipgeorgiastatedefenseforce')",1
"('dakota', 'parks')",1
"('parks', 'wildlife')",1
"('wildlife', 'foundation')",1
"('state', 'system')",1
"('pa', 'patient')",1
"('patient', 'safety')",1
"('safety', 'authority')",1
"('pennsylvania', 'turnpike')",1
"('turnpike', 'commission')",1
"('pa', 'health')",1
"('care', 'cost')",1
"('cost', 'containment')",1
"('containment', 'council')",1
"('assistance', 'agency')",1
"('higher', 'educational')",1
"('educational', 'facilities')",1
"('pa', 'housing')",1
"('carolina', 'ports')",1
"('ports', 'authority')",1
"('the', 'port')",1
"('port', 'of')",1
"('state', 'potato')",1
"('alabama', 'historical')",1
"('historical', 'commission')",1
"('commission', 'state')",1
"('alabama', 'historic')",1
"('historic', 'preservation')",1
"('preservation', 'office')",1
"('queen', 'annes')",1
"('annes', 'revenge')",1
"('revenge', 'a')",1
"('a', 'project')",1
"('project', 'of')",1
"('the', 'httpwwwqaronlineorg')",1
"('httpwwwqaronlineorg', 'north')",1
"('resources', 'to')",1
"('to', 'educate')",1
"('educate', 'the')",1
"('the', 'next')",1
"('next', 'generation')",1
"('generation', 'on')",1
"('on', 'colonial')",1
"('colonial', 'life')",1
"('life', 'note')",1
"('uninsured', 'employers')",1
"('employers', 'fund')",1
"('fund', 'state')",1
"('state', 'ag')",1
"('ag', 'econ')",1
"('econ', 'at')",1
"('at', 'osu')",1
"('osu', 'note')",1
"('ready', 'nc')",1
"('nc', 'nc')",1
"('ready', 'pa')",1
"('pa', 'pennsylvania')",1
"('pennsylvania', 'emergency')",1
"('washington', 'red')",1
"('red', 'raspberry')",1
"('raspberry', 'commission')",1
"('of', 'refrigeration')",1
"('refrigeration', 'examiners')",1
"('rehabilitation', 'florida')",1
"('island', 'clean')",1
"('water', 'finance')",1
"('island', 'emissions')",1
"('emissions', 'and')",1
"('safety', 'testing')",1
"('testing', 'note')",1
"('island', 'lottery')",1
"('island', 'public')",1
"('island', 'turnpike')",1
"('turnpike', 'and')",1
"('and', 'bridge')",1
"('bridge', 'authority')",1
"('the', 'president')",1
"('president', 'republic')",1
"('the', 'marshall')",1
"('marshall', 'islands')",1
"('safemt', 'a')",1
"('a', 'resource')",1
"('resource', 'of')",1
"('the', 'montana')",1
"('fund', 'for')",1
"('for', 'safety')",1
"('safety', 'in')",1
"('in', 'montanas')",1
"('montanas', 'workplaces')",1
"('workplaces', 'note')",1
"('nc', 'safe')",1
"('safe', 'haven')",1
"('haven', 'law')",1
"('law', 'abandoned')",1
"('abandoned', 'infant')",1
"('infant', 'protection')",1
"('protection', 'law')",1
"('law', 'site')",1
"('the', 'website')",1
"('virginia', 'center')",1
"('center', 'on')",1
"('on', 'aging')",1
"('aging', 'vcoa')",1
"('vcoa', 'a')",1
"('statewide', 'agency')",1
"('agency', 'created')",1
"('virginia', 'general')",1
"('assembly', 'and')",1
"('and', 'housed')",1
"('housed', 'at')",1
"('at', 'virginia')",1
"('commonwealth', 'university')",1
"('university', 'in')",1
"('the', 'school')",1
"('of', 'allied')",1
"('allied', 'health')",1
"('health', 'professions')",1
"('professions', 'vcoa')",1
"('vcoa', 'works')",1
"('protect', 'and')",1
"('and', 'improve')",1
"('improve', 'the')",1
"('the', 'quality')",1
"('quality', 'of')",1
"('of', 'life')",1
"('of', 'older')",1
"('older', 'virginians')",1
"('virginians', 'so')",1
"('so', 'that')",1
"('that', 'they')",1
"('they', 'might')",1
"('might', 'remain')",1
"('remain', 'interdependent')",1
"('interdependent', 'and')",1
"('and', 'contributing')",1
"('contributing', 'members')",1
"('members', 'to')",1
"('to', 'life')",1
"('life', 'in')",1
"('santee', 'cooper')",1
"('cooper', 'also')",1
"('also', 'known')",1
"('known', 'officially')",1
"('officially', 'from')",1
"('the', 's')",1
"('s', 'as')",1
"('carolina', 'public')",1
"('service', 'authority')",1
"('authority', 'is')",1
"('is', 'south')",1
"('south', 'carolinas')",1
"('carolinas', 'stateowned')",1
"('stateowned', 'electric')",1
"('electric', 'and')",1
"('water', 'utility')",1
"('utility', 'that')",1
"('that', 'came')",1
"('came', 'into')",1
"('into', 'being')",1
"('being', 'during')",1
"('during', 'the')",1
"('the', 'new')",1
"('new', 'deal')",1
"('deal', 'note')",1
"('mexico', 'office')",1
"('save', 'water')",1
"('water', 'nc')",1
"('of', 'administration')",1
"('administration', 'created')",1
"('florida', 'constitution')",1
"('constitution', 'and')",1
"('a', 'threemember')",1
"('threemember', 'board')",1
"('of', 'trustees')",1
"('trustees', 'trustees')",1
"('trustees', 'comprised')",1
"('governor', 'as')",1
"('as', 'chair')",1
"('chair', 'the')",1
"('the', 'chief')",1
"('chief', 'financial')",1
"('financial', 'officer')",1
"('officer', 'and')",1
"('and', 'technical')",1
"('technical', 'colleges')",1
"('colleges', 'note')",1
"('state', 'college')",1
"('college', 'borough')",1
"('borough', 'water')",1
"('water', 'authority')",1
"('authority', 'pa')",1
"('pa', 'note')",1
"('sc', 'dept')",1
"('sc', 'judicial')",1
"('judicial', 'courts')",1
"('sc', 'dmv')",1
"('dmv', 'note')",1
"('carolina', 'emergency')",1
"('sc', 'early')",1
"('early', 'childhood')",1
"('childhood', 'education')",1
"('education', 'program')",1
"('sc', 'gov')",1
"('gov', 'mansion')",1
"('mansion', 'note')",1
"('sc', 'govoners')",1
"('govoners', 'school')",1
"('for', 'science')",1
"('and', 'math')",1
"('math', 'note')",1
"('sc', 'national')",1
"('education', 'for')",1
"('virginia', 'schev')",1
"('schev', 'makes')",1
"('makes', 'higher')",1
"('education', 'public')",1
"('public', 'policy')",1
"('policy', 'recommendations')",1
"('recommendations', 'to')",1
"('and', 'general')",1
"('assembly', 'in')",1
"('in', 'such')",1
"('such', 'areas')",1
"('areas', 'as')",1
"('as', 'capital')",1
"('capital', 'and')",1
"('and', 'operating')",1
"('operating', 'budget')",1
"('budget', 'planning')",1
"('planning', 'enrollment')",1
"('enrollment', 'projections')",1
"('projections', 'institutional')",1
"('institutional', 'technology')",1
"('technology', 'needs')",1
"('needs', 'and')",1
"('student', 'financial')",1
"('financial', 'aid')",1
"('aid', 'note')",1
"('school', 'planning')",1
"('planning', 'section')",1
"('section', 'north')",1
"('carolina', 'epscoridea')",1
"('epscoridea', 'program')",1
"('program', 'cccr')",1
"('cccr', 'cobre')",1
"('cobre', 'and')",1
"('the', 'usc')",1
"('usc', 'school')",1
"('of', 'medicine')",1
"('medicine', 'instrumentation')",1
"('instrumentation', 'resource')",1
"('resource', 'facility')",1
"('facility', 'note')",1
"('sc', 'malpractice')",1
"('malpractice', 'patient')",1
"('patient', 'compensation')",1
"('compensation', 'fund')",1
"('carolina', 'school')",1
"('and', 'blind')",1
"('carolina', 'statewide')",1
"('council', 'silc')",1
"('silc', 'note')",1
"('sc', 'sec')",1
"('sec', 'of')",1
"('carolina', 'higher')",1
"('higher', 'educationtuition')",1
"('educationtuition', 'grants')",1
"('grants', 'commission')",1
"('sc', 'state')",1
"('state', 'election')",1
"('election', 'committee')",1
"('sc', 'vocab')",1
"('vocab', 'rehab')",1
"('rehab', 'note')",1
"('dakota', 'department')",1
"('dakota', 'housing')",1
"('employees', 'association')",1
"('seeking', 'michigan')",1
"('michigan', 'the')",1
"('the', 'online')",1
"('online', 'platform')",1
"('platform', 'for')",1
"('the', 'httpmichigangovmhc')",1
"('httpmichigangovmhc', 'michigan')",1
"('center', 'it')",1
"('it', 'includes')",1
"('includes', 'httpwwwmichigangovarchivesofmi')",1
"('httpwwwmichigangovarchivesofmi', 'archives')",1
"('michigan', 'research')",1
"('research', 'guides')",1
"('guides', 'and')",1
"('and', 'indexes')",1
"('indexes', 'a')",1
"('a', 'blog')",1
"('blog', 'and')",1
"('and', 'educator')",1
"('educator', 'resourcesndashall')",1
"('resourcesndashall', 'from')",1
"('the', 'michigan')",1
"('and', 'archives')",1
"('michigan', 'staff')",1
"('staff', 'note')",1
"('minnesota', 'senate')",1
"('senate', 'note')",1
"('authorized', 'service')",1
"('service', 'website')",1
"('the', 'arizona')",1
"('arizona', 'department')",1
"('transportation', 'motor')",1
"('motor', 'vehicle')",1
"('vehicle', 'division')",1
"('state', 'health')",1
"('health', 'plan')",1
"('plan', 'for')",1
"('for', 'teachers')",1
"('employees', 'note')",1
"('sled', 'statewide')",1
"('statewide', 'library')",1
"('library', 'electronic')",1
"('electronic', 'doorway')",1
"('doorway', 'note')",1
"('state', 'laboratory')",1
"('laboratory', 'of')",1
"('science', 'museum')",1
"('virginia', 'located')",1
"('located', 'in')",1
"('in', 'richmond')",1
"('richmond', 'va')",1
"('nc', 'secretary')",1
"('carolina', 'historical')",1
"('school', 'building')",1
"('building', 'authority')",1
"('basin', 'commission')",1
"('the', 'susquehanna')",1
"('basin', 'compact')",1
"('compact', 'was')",1
"('was', 'signed')",1
"('signed', 'into')",1
"('into', 'law')",1
"('law', 'on')",1
"('on', 'december')",1
"('december', 'the')",1
"('the', 'compact')",1
"('compact', 'as')",1
"('as', 'adopted')",1
"('adopted', 'by')",1
"('the', 'congress')",1
"('congress', 'of')",1
"('states', 'and')",1
"('the', 'legislatures')",1
"('legislatures', 'of')",1
"('state', 'pennsylvania')",1
"('pennsylvania', 'and')",1
"('and', 'maryland')",1
"('maryland', 'provides')",1
"('provides', 'the')",1
"('the', 'mechanism')",1
"('mechanism', 'to')",1
"('to', 'guide')",1
"('guide', 'the')",1
"('the', 'conservation')",1
"('conservation', 'development')",1
"('and', 'administration')",1
"('administration', 'of')",1
"('the', 'vast')",1
"('vast', 'river')",1
"('basin', 'note')",1
"('start', 'squad')",1
"('squad', 'kids')",1
"('kids', 'portal')",1
"('portal', 'to')",1
"('carolinas', 'justuswarren')",1
"('justuswarren', 'heart')",1
"('heart', 'disease')",1
"('disease', 'and')",1
"('and', 'stroke')",1
"('stroke', 'prevention')",1
"('stateakus', 'pattern')",1
"('include', 'alaska')",1
"('alaska', 'state')",1
"('at', 'httpswwwgooglecomqsitestateakus')",1
"('httpswwwgooglecomqsitestateakus', 'note')",1
"('statealus', 'pattern')",1
"('include', 'alabama')",1
"('at', 'httpswwwgooglecomqsitestatealus')",1
"('httpswwwgooglecomqsitestatealus', 'note')",1
"('statearus', 'pattern')",1
"('arkansas', 'agencies')",1
"('stateazus', 'pattern')",1
"('include', 'arizona')",1
"('at', 'httpswwwgooglecomqsitestateazus')",1
"('httpswwwgooglecomqsitestateazus', 'note')",1
"('statecaus', 'pattern')",1
"('include', 'california')",1
"('at', 'httpswwwgooglecomqsitestatecaus')",1
"('httpswwwgooglecomqsitestatecaus', 'note')",1
"('included', 'to')",1
"('find', 'statecous')",1
"('statecous', 'pattern')",1
"('state', 'websites')",1
"('websites', 'such')",1
"('as', 'httpswwwgooglecomsearchqsiteastatecous')",1
"('httpswwwgooglecomsearchqsiteastatecous', 'note')",1
"('stateflus', 'pattern')",1
"('include', 'florida')",1
"('at', 'httpswwwgooglecomqsitestateflus')",1
"('httpswwwgooglecomqsitestateflus', 'note')",1
"('of', 'ga')",1
"('ga', 'website')",1
"('of', 'iowa')",1
"('for', 'stateidus')",1
"('stateidus', 'websites')",1
"('illinois', 'note')",1
"('of', 'indiana')",1
"('ky', 'website')",1
"('mass', 'state')",1
"('website', 'is')",1
"('is', 'at')",1
"('at', 'httpwwwmarylandgov')",1
"('httpwwwmarylandgov', 'statemdus')",1
"('statemdus', 'pattern')",1
"('include', 'maryland')",1
"('at', 'httpswwwgooglecomqsitestatemdus')",1
"('httpswwwgooglecomqsitestatemdus', 'note')",1
"('minnesotagov', 'portal')",1
"('portal', 'electronic')",1
"('electronic', 'entry')",1
"('entry', 'point')",1
"('point', 'to')",1
"('to', 'minnesota')",1
"('minnesota', 'state')",1
"('government', 'information')",1
"('stateneus', 'pattern')",1
"('include', 'several')",1
"('several', 'state')",1
"('httpwwwstatenjus', 'and')",1
"('and', 'httpwwwnjgov')",1
"('httpwwwnjgov', 'both')",1
"('both', 'resolve')",1
"('resolve', 'to')",1
"('the', 'same')",1
"('same', 'site')",1
"('site', 'nstatenjus')",1
"('nstatenjus', 'pattern')",1
"('include', 'new')",1
"('at', 'httpswwwgooglecomqsitestatenjus')",1
"('httpswwwgooglecomqsitestatenjus', 'note')",1
"('of', 'ohio')",1
"('of', 'ok')",1
"('ok', 'website')",1
"('httpwwwstateorus', 'resolves')",1
"('resolves', 'to')",1
"('a', 'nonstyled')",1
"('nonstyled', 'version')",1
"('version', 'of')",1
"('of', 'httpwwworegongov')",1
"('httpwwworegongov', 'nstateorus')",1
"('nstateorus', 'pattern')",1
"('pattern', 'included')",1
"('here', 'to')",1
"('of', 'oregon')",1
"('oregon', 'agencies')",1
"('as', 'httpswwwgooglecomsearchqsitestateorus')",1
